date,pr_count
2025-02-13,8
2025-02-14,0
2025-02-15,2
2025-02-16,0
2025-02-17,72
2025-02-18,309
2025-02-19,223
2025-02-20,7
2025-02-21,638
2025-02-22,256
2025-02-23,127
2025-02-24,1
2025-02-25,614
2025-02-26,3
2025-02-27,269
2025-02-28,427
2025-03-01,96
2025-03-02,542
2025-03-03,304
2025-03-04,595
2025-03-05,737
2025-03-06,77
2025-03-07,438
2025-03-08,412
2025-03-09,406
2025-03-10,693
2025-03-11,637
2025-03-12,820
2025-03-13,222
2025-03-14,1138
2025-03-15,1039
2025-03-16,861
2025-03-17,462
2025-03-18,826
2025-03-19,870
2025-03-20,928
2025-03-21,980
2025-03-22,952
2025-03-23,1333
2025-03-24,705
2025-03-25,886
2025-03-26,559
2025-03-27,1061
2025-03-28,773
2025-03-29,1080
2025-03-30,981
2025-03-31,947
2025-04-01,1188
2025-04-02,1375
2025-04-03,1147
2025-04-04,1595
2025-04-05,1260
2025-04-06,1323
2025-04-07,1593
2025-04-08,1337
2025-04-09,1177
2025-04-10,1745
2025-04-11,1521
2025-04-12,1579
2025-04-13,1827
2025-04-14,1229
2025-04-15,1079
2025-04-16,1397
2025-04-17,1537
2025-04-18,1395
2025-04-19,1435
2025-04-20,1870
2025-04-21,1527
2025-04-22,1883
2025-04-23,1582
2025-04-24,1703
2025-04-25,1925
2025-04-26,1818
2025-04-27,2404
2025-04-28,2059
2025-04-29,1702
2025-04-30,1696
2025-05-01,1582
2025-05-02,1956
2025-05-03,2098
2025-05-04,1964
2025-05-05,2196
2025-05-06,2234
2025-05-07,2013
2025-05-08,1821
2025-05-09,2042
2025-05-10,2089
2025-05-11,2314
2025-05-12,1864
2025-05-13,2157
2025-05-14,2214
2025-05-15,2513
2025-05-16,2446
2025-05-17,2482
2025-05-18,2355
2025-05-19,2887
2025-05-20,2189
2025-05-21,2665
2025-05-22,2516
2025-05-23,2399
2025-05-24,2404
2025-05-25,2883
2025-05-26,2400
2025-05-27,2310
2025-05-28,2735
2025-05-29,2732
2025-05-30,2680
2025-05-31,3167
2025-06-01,2978
2025-06-02,2703
2025-06-03,2677
2025-06-04,2993
2025-06-05,2978
2025-06-06,2947
2025-06-07,2868
2025-06-08,2735
2025-06-09,2494
2025-06-10,2773
2025-06-11,3050
2025-06-12,2938
2025-06-13,2954
2025-06-14,3370
2025-06-15,2980
2025-06-16,3050
2025-06-17,2999
2025-06-18,3102
2025-06-19,2826
2025-06-20,3081
2025-06-21,3129
2025-06-22,3111
2025-06-23,3222
2025-06-24,3008
2025-06-25,3520
2025-06-26,2986
2025-06-27,3630
2025-06-28,3165
2025-06-29,3555
2025-06-30,3557
2025-07-01,3533
2025-07-02,3655
2025-07-03,3543
2025-07-04,3431
2025-07-05,3609
2025-07-06,3719
2025-07-07,3783
2025-07-08,3546
2025-07-09,3981
2025-07-10,3852
2025-07-11,3994
2025-07-12,3394
2025-07-13,3065
2025-07-14,3748
2025-07-15,4028
2025-07-16,3713
2025-07-17,4054
2025-07-18,3805
2025-07-19,3946
2025-07-20,3779
2025-07-21,3861
2025-07-22,3715
2025-07-23,4272
2025-07-24,4040
2025-07-25,4318
2025-07-26,4125
2025-07-27,3847
2025-07-28,4504
2025-07-29,4443
2025-07-30,4046
2025-07-31,4127
2025-08-01,4450
2025-08-02,4206
2025-08-03,4353
2025-08-04,4683
2025-08-05,4763
2025-08-06,4544
2025-08-07,4307
2025-08-08,4158
2025-08-09,4709
2025-08-10,4820
2025-08-11,4440
2025-08-12,4528
