date,issue_count
2010-08-31,1
2010-09-11,2
2010-10-19,3
2010-10-23,4
2010-10-26,7
2010-11-16,8
2010-11-23,9
2010-11-25,10
2010-12-13,11
2010-12-16,12
2010-12-17,13
2011-01-10,14
2011-01-11,15
2011-01-12,18
2011-01-13,19
2011-01-17,21
2011-01-20,25
2011-01-24,27
2011-01-25,28
2011-01-26,29
2011-01-27,30
2011-02-02,31
2011-02-07,32
2011-02-08,33
2011-02-11,34
2011-02-12,35
2011-02-13,38
2011-02-17,39
2011-02-18,40
2011-02-22,42
2011-02-24,43
2011-03-01,44
2011-03-02,45
2011-03-03,46
2011-03-06,47
2011-03-08,48
2011-03-11,49
2011-03-30,50
2011-04-01,53
2011-04-04,54
2011-04-27,55
2011-05-02,56
2011-05-03,58
2011-05-05,60
2011-05-06,61
2011-05-12,63
2011-05-15,64
2011-05-16,67
2011-05-17,70
2011-05-19,72
2011-05-22,73
2011-05-24,74
2011-05-26,75
2011-05-28,76
2011-05-30,77
2011-05-31,78
2011-06-03,79
2011-06-06,81
2011-06-07,82
2011-06-15,84
2011-06-16,85
2011-06-18,86
2011-06-24,87
2011-06-28,88
2011-07-03,89
2011-07-04,90
2011-07-05,91
2011-07-08,94
2011-07-09,95
2011-07-14,96
2011-07-15,97
2011-07-16,99
2011-07-18,101
2011-07-19,102
2011-07-22,103
2011-07-23,104
2011-07-24,105
2011-07-29,108
2011-08-02,109
2011-08-04,110
2011-08-12,111
2011-08-24,113
2011-08-26,114
2011-08-28,115
2011-08-30,116
2011-09-01,118
2011-09-02,123
2011-09-03,124
2011-09-05,125
2011-09-06,126
2011-09-07,127
2011-09-11,128
2011-09-13,129
2011-09-21,132
2011-09-22,133
2011-09-23,134
2011-09-25,136
2011-09-27,138
2011-09-28,140
2011-09-29,141
2011-10-03,143
2011-10-04,145
2011-10-07,146
2011-10-09,148
2011-10-10,149
2011-10-12,152
2011-10-16,153
2011-10-17,154
2011-10-18,156
2011-10-19,157
2011-10-20,159
2011-10-21,160
2011-10-25,161
2011-10-31,162
2011-11-01,164
2011-11-06,165
2011-11-08,167
2011-11-09,168
2011-11-11,169
2011-11-14,170
2011-11-15,171
2011-11-16,172
2011-11-24,174
2011-11-25,175
2011-12-05,176
2011-12-13,177
2011-12-18,179
2011-12-19,181
2011-12-20,183
2011-12-21,184
2011-12-25,185
2011-12-28,186
2011-12-29,187
2012-01-04,188
2012-01-05,190
2012-01-06,191
2012-01-08,194
2012-01-11,197
2012-01-12,198
2012-01-14,199
2012-01-15,200
2012-01-16,203
2012-01-17,206
2012-01-18,209
2012-01-20,210
2012-01-22,211
2012-01-23,213
2012-01-24,216
2012-01-26,218
2012-01-27,219
2012-01-28,220
2012-01-29,221
2012-01-30,222
2012-01-31,224
2012-02-01,226
2012-02-02,228
2012-02-09,229
2012-02-10,233
2012-02-12,235
2012-02-13,238
2012-02-15,240
2012-02-16,241
2012-02-17,244
2012-02-20,245
2012-02-21,246
2012-02-22,247
2012-02-24,248
2012-02-25,249
2012-02-28,253
2012-02-29,254
2012-03-01,256
2012-03-03,257
2012-03-04,261
2012-03-05,262
2012-03-09,263
2012-03-13,264
2012-03-14,265
2012-03-15,266
2012-03-16,267
2012-03-18,268
2012-03-19,269
2012-03-20,270
2012-03-21,273
2012-03-23,275
2012-03-24,276
2012-03-25,278
2012-03-26,279
2012-03-27,281
2012-03-28,283
2012-03-29,284
2012-03-31,288
2012-04-02,289
2012-04-03,291
2012-04-04,293
2012-04-06,294
2012-04-10,295
2012-04-11,296
2012-04-12,298
2012-04-13,302
2012-04-14,303
2012-04-17,305
2012-04-18,307
2012-04-19,308
2012-04-20,310
2012-04-23,311
2012-04-24,313
2012-04-25,316
2012-04-26,318
2012-04-27,319
2012-04-30,320
2012-05-01,322
2012-05-02,323
2012-05-03,324
2012-05-04,326
2012-05-05,328
2012-05-06,332
2012-05-07,334
2012-05-09,338
2012-05-10,339
2012-05-11,340
2012-05-13,341
2012-05-14,343
2012-05-15,345
2012-05-16,347
2012-05-19,348
2012-05-21,349
2012-05-25,350
2012-05-29,352
2012-06-02,354
2012-06-03,356
2012-06-05,357
2012-06-08,361
2012-06-12,365
2012-06-13,366
2012-06-17,367
2012-06-22,368
2012-06-27,371
2012-06-28,372
2012-07-02,373
2012-07-04,375
2012-07-05,378
2012-07-06,379
2012-07-07,380
2012-07-10,384
2012-07-11,385
2012-07-12,387
2012-07-13,388
2012-07-16,389
2012-07-17,390
2012-07-18,395
2012-07-24,398
2012-07-25,399
2012-07-27,400
2012-07-30,401
2012-07-31,402
2012-08-01,403
2012-08-02,405
2012-08-05,406
2012-08-06,407
2012-08-08,408
2012-08-09,410
2012-08-10,412
2012-08-11,413
2012-08-12,418
2012-08-13,421
2012-08-15,424
2012-08-17,428
2012-08-18,430
2012-08-21,432
2012-08-22,433
2012-08-23,437
2012-08-24,440
2012-08-26,441
2012-08-27,444
2012-08-28,445
2012-08-29,447
2012-08-30,451
2012-09-01,454
2012-09-02,456
2012-09-03,458
2012-09-04,460
2012-09-05,464
2012-09-06,469
2012-09-07,471
2012-09-09,472
2012-09-10,473
2012-09-11,475
2012-09-12,477
2012-09-13,478
2012-09-14,479
2012-09-15,480
2012-09-16,486
2012-09-17,490
2012-09-18,491
2012-09-20,492
2012-09-21,493
2012-09-24,495
2012-09-25,498
2012-09-26,499
2012-09-28,501
2012-09-29,504
2012-10-01,505
2012-10-03,506
2012-10-04,508
2012-10-05,510
2012-10-06,512
2012-10-07,518
2012-10-08,520
2012-10-09,524
2012-10-10,525
2012-10-11,527
2012-10-14,529
2012-10-15,530
2012-10-16,533
2012-10-18,538
2012-10-19,543
2012-10-20,544
2012-10-21,547
2012-10-22,549
2012-10-23,550
2012-10-24,552
2012-10-25,554
2012-10-26,555
2012-10-27,557
2012-10-29,558
2012-10-30,560
2012-10-31,564
2012-11-01,568
2012-11-02,570
2012-11-04,572
2012-11-05,577
2012-11-06,579
2012-11-08,582
2012-11-09,585
2012-11-10,587
2012-11-12,588
2012-11-13,591
2012-11-14,592
2012-11-15,595
2012-11-17,596
2012-11-18,598
2012-11-19,599
2012-11-20,600
2012-11-21,603
2012-11-22,605
2012-11-23,607
2012-11-24,611
2012-11-26,615
2012-11-27,616
2012-11-28,618
2012-11-29,619
2012-11-30,620
2012-12-01,621
2012-12-02,624
2012-12-03,625
2012-12-04,627
2012-12-05,628
2012-12-06,630
2012-12-08,631
2012-12-09,633
2012-12-10,634
2012-12-11,639
2012-12-12,641
2012-12-14,644
2012-12-15,645
2012-12-16,646
2012-12-21,648
2012-12-23,649
2012-12-24,651
2012-12-26,654
2012-12-27,655
2012-12-31,657
