date,pr_count
2010-09-01,1
2010-09-02,2
2010-09-09,3
2010-09-15,4
2010-10-24,6
2010-10-31,7
2010-11-05,8
2010-11-12,9
2010-11-15,10
2010-11-22,11
2010-11-27,12
2010-11-28,13
2010-11-29,14
2010-11-30,15
2010-12-02,17
2010-12-08,18
2010-12-09,19
2010-12-10,20
2010-12-12,21
2010-12-14,23
2011-01-11,25
2011-01-12,27
2011-01-13,28
2011-01-16,30
2011-01-18,33
2011-01-19,34
2011-01-20,36
2011-01-31,38
2011-02-01,42
2011-02-04,43
2011-02-21,45
2011-02-22,48
2011-02-28,50
2011-03-01,51
2011-03-02,52
2011-03-04,53
2011-03-09,54
2011-03-11,55
2011-03-20,56
2011-03-21,58
2011-03-31,59
2011-04-01,72
2011-04-04,76
2011-04-06,77
2011-04-07,78
2011-04-08,80
2011-04-12,81
2011-04-13,82
2011-04-16,83
2011-04-25,84
2011-04-28,86
2011-05-02,88
2011-05-03,92
2011-05-04,97
2011-05-05,98
2011-05-06,99
2011-05-08,100
2011-05-09,102
2011-05-12,104
2011-05-13,105
2011-05-18,106
2011-05-19,107
2011-05-20,109
2011-05-21,110
2011-05-22,112
2011-05-23,113
2011-05-24,114
2011-06-02,116
2011-06-03,117
2011-06-04,121
2011-06-05,122
2011-06-06,124
2011-06-07,126
2011-06-10,127
2011-06-11,128
2011-06-14,130
2011-06-18,131
2011-06-21,132
2011-06-22,133
2011-06-25,135
2011-06-26,137
2011-06-28,138
2011-06-29,140
2011-07-03,141
2011-07-06,142
2011-07-07,144
2011-07-08,145
2011-07-10,146
2011-07-11,148
2011-07-12,149
2011-07-15,153
2011-07-16,155
2011-07-17,156
2011-07-18,158
2011-07-19,160
2011-07-20,161
2011-07-21,164
2011-07-22,169
2011-07-23,171
2011-07-25,172
2011-07-26,175
2011-07-27,177
2011-07-29,178
2011-07-30,180
2011-08-01,182
2011-08-03,183
2011-08-04,184
2011-08-05,187
2011-08-07,188
2011-08-08,191
2011-08-09,194
2011-08-10,198
2011-08-11,201
2011-08-15,202
2011-08-20,203
2011-08-22,205
