date,issues
2018-06-06,3
2018-06-07,1
2018-10-29,6
2018-11-06,1
2018-11-12,1
2018-11-16,1
2018-11-17,1
2018-11-19,1
2018-11-30,1
2018-12-03,1
2018-12-07,1
2018-12-12,1
2018-12-13,1
2018-12-17,3
2018-12-18,1
2019-01-29,2
2019-03-15,1
2019-05-07,1
2019-12-17,1
2020-02-27,1
2020-03-19,1
2020-04-10,1
2020-04-14,1
2020-04-27,1
2020-05-14,1
2020-05-15,2
2020-06-08,1
2020-06-10,1
2020-07-02,1
2020-10-02,1
2020-10-04,3
2020-10-11,2
2020-10-19,1
2020-10-28,1
2021-02-11,1
2021-02-18,2
2021-04-02,2
2021-04-09,1
2021-05-17,1
2021-06-22,2
2021-07-05,1
2021-07-06,2
2021-07-07,1
2021-07-19,3
2021-07-20,3
2021-07-21,2
2021-07-23,1
2021-07-26,1
2021-10-08,3
2021-10-19,1
2021-10-27,3
2021-11-14,1
2021-12-08,4
2021-12-09,1
2022-03-25,1
2022-04-07,1
2022-05-03,1
2022-05-12,1
2022-06-04,1
2022-06-07,1
2022-06-28,1
2022-07-05,2
2022-07-08,1
2022-07-22,1
2022-08-01,1
2022-08-02,1
2022-08-05,1
2022-08-30,1
2022-08-31,1
2022-09-02,9
2022-09-05,2
2022-09-07,1
2022-09-09,4
2022-09-12,4
2022-09-14,4
2022-09-20,1
2022-09-22,2
2022-09-26,1
2022-10-03,1
2022-10-06,1
2022-10-10,3
2022-10-17,2
2022-10-25,1
2022-10-27,2
2022-11-04,1
2022-11-07,1
2022-11-14,1
2022-12-05,1
2022-12-12,1
2022-12-19,2
2022-12-28,1
2023-01-09,3
2023-01-10,1
2023-01-16,1
2023-01-17,1
2023-01-18,1
2023-01-23,1
2023-01-24,1
2023-01-25,1
2023-01-30,1
2023-01-31,1
2023-02-13,2
2023-02-15,1
2023-02-20,2
2023-02-23,1
2023-02-24,1
2023-02-28,2
2023-03-01,1
2023-03-02,1
2023-03-03,5
2023-03-20,2
2023-04-05,1
2023-04-06,1
2023-04-17,1
2023-04-20,2
2023-05-08,3
2023-05-15,2
2023-05-16,1
2023-05-25,1
2023-06-01,1
2023-06-05,1
2023-06-09,1
2023-06-10,1
2023-06-12,1
2023-06-13,1
2023-06-14,2
2023-06-23,1
2023-06-27,1
2023-06-30,1
2023-07-03,2
2023-07-05,1
2023-07-07,3
2023-07-17,2
2023-07-18,3
2023-07-20,5
2023-07-27,1
2023-07-31,2
2023-08-03,2
2023-08-04,1
2023-08-18,9
2023-08-21,1
2023-08-23,1
2023-08-30,1
2023-08-31,1
2023-09-01,1
2023-09-05,1
2023-09-15,1
2023-09-19,1
2023-09-20,3
2023-09-22,2
2023-09-25,1
2023-09-26,1
2023-09-27,2
2023-09-28,3
2023-09-29,4
2023-10-04,1
2023-10-10,1
2023-10-12,1
2023-10-13,1
2023-10-18,1
2023-10-25,1
2023-10-30,1
2023-10-31,1
2023-11-06,1
2023-11-13,1
2023-11-14,1
2023-11-21,2
2023-11-22,1
2023-11-23,1
2023-11-29,1
2023-12-08,1
2023-12-13,1
2023-12-14,1
2023-12-15,2
2023-12-18,1
2023-12-19,2
2024-01-05,1
2024-01-29,1
2024-02-20,1
2024-02-29,1
2024-03-18,1
2024-04-01,2
2024-04-23,1
2024-04-25,1
2024-05-13,1
2024-05-14,1
2024-05-21,1
2024-05-25,1
2024-05-28,2
2024-05-29,1
2024-05-31,1
2024-06-03,2
2024-06-07,1
2024-06-13,1
2024-06-17,2
2024-06-18,1
2024-07-01,1
2024-07-02,2
2024-07-07,1
2024-07-10,1
2024-07-15,1
2024-07-16,1
2024-07-29,2
2024-07-31,1
2024-08-01,1
2024-08-02,1
2024-08-04,1
2024-08-05,1
2024-08-12,1
2024-08-20,1
2024-08-30,4
2024-09-02,1
2024-09-03,1
2024-09-10,1
2024-09-12,2
2024-09-16,1
2024-09-26,1
2024-09-28,1
2024-10-03,1
2024-10-10,1
2024-10-13,1
2024-10-16,1
2024-10-19,1
2024-10-20,1
2024-10-21,1
2024-10-22,1
2024-10-26,1
2024-10-28,1
2024-10-31,1
2024-11-06,1
2024-11-07,1
2024-11-18,2
2024-11-19,2
2024-11-20,1
2024-11-22,1
2024-11-27,1
2024-11-28,1
2024-11-29,2
2024-12-03,5
2024-12-05,3
2024-12-06,1
2024-12-07,2
2024-12-11,1
2024-12-14,1
2024-12-17,1
2024-12-25,1
2025-01-06,1
2025-01-10,2
2025-01-14,1
2025-01-15,1
2025-01-21,1
2025-01-23,1
2025-01-28,1
2025-02-03,1
2025-02-07,1
2025-02-10,1
2025-02-12,1
2025-02-24,2
2025-02-25,2
2025-02-26,1
2025-03-03,1
2025-03-13,1
2025-03-15,1
2025-03-18,1
2025-03-19,1
2025-03-21,1
2025-03-24,2
2025-03-31,3
2025-04-05,1
2025-04-07,5
2025-04-08,1
2025-04-10,7
2025-04-11,4
2025-04-14,2
2025-04-16,2
2025-04-19,1
2025-04-24,1
2025-04-25,1
2025-04-27,1
2025-05-01,1
2025-05-02,1
2025-05-03,1
2025-05-06,2
2025-05-12,2
2025-05-14,4
2025-05-16,1
2025-05-18,1
2025-05-21,2
2025-05-22,5
2025-05-23,2
2025-05-26,1
2025-05-28,2
2025-06-02,3
2025-06-05,2
2025-06-06,3
2025-06-11,1
2025-06-13,2
2025-06-15,1
2025-06-17,1
2025-06-18,3
2025-06-19,3
2025-06-20,1
2025-06-23,1
2025-06-26,3
2025-06-27,3
2025-06-30,1
2025-07-02,1
2025-07-05,2
2025-07-07,4
2025-07-08,1
2025-07-09,3
2025-07-10,2
2025-07-11,2
2025-07-14,1
2025-07-15,1
2025-07-17,1
2025-07-21,1
2025-07-22,1
2025-07-23,2
2025-07-24,1
2025-07-28,1
2025-07-29,1
2025-08-08,1
2025-08-09,1
2025-08-22,2
2025-08-24,1
2025-08-26,1
2025-08-27,1
