date,stars
2010-08-17,343
2010-08-18,344
2010-08-19,345
2010-08-20,346
2010-08-24,347
2010-08-26,348
2010-08-27,349
2010-09-01,350
2010-09-03,351
2010-09-07,352
2010-09-10,353
2010-09-12,354
2010-09-16,357
2010-09-17,359
2010-09-18,360
2010-09-19,361
2010-09-21,362
2010-09-28,363
2010-09-30,364
2010-10-01,365
2010-10-02,369
2010-10-06,370
2010-10-07,372
2010-10-09,373
2010-10-13,376
2010-10-14,377
2010-10-16,378
2010-10-17,379
2010-10-22,380
2010-10-23,383
2010-10-25,384
2010-10-27,385
2010-10-28,386
2010-10-31,388
2010-11-01,389
2010-11-02,391
2010-11-04,393
2010-11-07,395
2010-11-09,396
2010-11-10,397
2010-11-11,399
2010-11-12,400
2010-11-14,402
2010-11-15,403
2010-11-17,405
2010-11-18,406
2010-11-22,409
2010-11-24,411
2010-11-26,412
2010-11-27,414
2010-11-29,415
2010-12-05,417
2010-12-06,420
2010-12-09,421
2010-12-13,422
2010-12-14,423
2010-12-15,424
2010-12-16,426
2010-12-17,427
2010-12-20,428
2010-12-24,429
2010-12-26,430
2010-12-27,432
2010-12-29,433
2011-01-01,434
2011-01-03,435
2011-01-04,436
2011-01-05,439
2011-01-06,441
2011-01-08,442
2011-01-09,443
2011-01-10,444
2011-01-11,445
2011-01-12,446
2011-01-14,447
2011-01-18,448
2011-01-19,449
2011-01-21,450
2011-01-24,451
2011-01-28,452
2011-01-29,453
2011-02-07,454
2011-02-10,455
2011-02-13,456
2011-02-14,457
2011-02-16,459
2011-02-17,461
2011-02-18,463
2011-02-19,465
2011-02-20,466
2011-02-21,467
2011-02-26,468
2011-02-27,469
2011-02-28,471
2011-03-01,473
2011-03-02,474
2011-03-03,476
2011-03-07,480
2011-03-08,482
2011-03-09,483
2011-03-11,485
2011-03-14,486
2011-03-16,487
2011-03-19,489
2011-03-23,490
2011-03-24,492
2011-03-25,495
2011-03-27,496
2011-03-28,498
2011-03-29,499
2011-03-30,500
2011-04-04,501
2011-04-07,502
2011-04-08,503
2011-04-09,504
2011-04-11,505
2011-04-14,506
2011-04-15,507
2011-04-16,509
2011-04-18,511
2011-04-19,513
2011-04-20,514
2011-04-21,515
2011-04-23,516
2011-04-24,517
2011-04-25,518
2011-04-27,519
2011-04-28,520
2011-04-29,521
2011-05-01,523
2011-05-06,524
2011-05-08,525
2011-05-11,526
2011-05-12,527
2011-05-13,528
2011-05-15,529
2011-05-19,530
2011-05-20,531
2011-05-22,533
2011-05-23,535
2011-05-26,536
2011-05-27,537
2011-05-28,538
2011-05-31,539
2011-06-01,540
2011-06-02,541
2011-06-04,543
2011-06-06,544
2011-06-10,547
2011-06-13,548
2011-06-15,549
2011-06-16,550
2011-06-19,551
2011-06-20,552
2011-06-22,554
2011-06-23,555
2011-06-24,556
2011-06-25,557
2011-06-26,558
2011-06-29,561
2011-06-30,563
2011-07-01,564
2011-07-03,565
2011-07-05,567
2011-07-06,569
2011-07-07,571
2011-07-08,573
2011-07-09,574
2011-07-10,575
2011-07-13,576
2011-07-15,577
2011-07-19,578
2011-07-21,579
2011-07-25,580
2011-07-29,582
2011-08-01,583
2011-08-02,584
2011-08-03,586
2011-08-04,591
2011-08-05,593
2011-08-07,594
2011-08-10,595
2011-08-13,596
2011-08-16,597
2011-08-17,598
2011-08-19,599
2011-08-20,600
2011-08-21,601
2011-08-23,602
2011-08-24,603
2011-08-26,604
2011-08-27,605
2011-08-28,606
2011-08-30,607
2011-09-01,608
2011-09-02,610
2011-09-03,611
2011-09-07,612
2011-09-08,613
2011-09-09,614
2011-09-13,615
2011-09-14,617
2011-09-15,618
2011-09-16,620
2011-09-17,621
2011-09-18,623
2011-09-19,624
2011-09-21,625
2011-09-22,627
2011-09-23,628
2011-09-25,629
2011-09-27,630
2011-09-28,631
2011-10-02,632
2011-10-03,636
2011-10-04,637
2011-10-06,638
2011-10-07,639
2011-10-09,640
2011-10-10,641
2011-10-12,643
2011-10-13,644
2011-10-14,645
2011-10-19,647
2011-10-22,649
2011-10-26,650
2011-10-27,651
2011-10-31,652
2011-11-01,653
2011-11-02,654
2011-11-04,656
